"Serotype","r","delta","phi_1","A_1","A_2","C1","B","C2","Gc0","Gs0","prim_bite","sec_bite"
"DENV1",1.30612,3.24534,0.102748,0.833264,4.91067,1.96427,0.416632,0.833264,1,0.19655,-4.43678,-5.03781
"DENV1",1.24278,2.99174,0.0921159,0.982135,4.84456,1.96427,0.413754,0.827508,0.823527,0.25,-4.32273,-5.7126
"DENV1",1.37909,3.06613,0.0951423,0.982135,4.47996,1.96427,0.384763,0.769526,0.818093,0.25,-4.59715,-5.05475
"DENV1",1.21112,3.09897,0.117555,1.03844,5.03592,2.06542,0.491074,0.98215,0.335838,0.21997,-4.64796,-5.12947
"DENV1",1.18703,3.06548,0.0905953,0.982135,4.31752,1.96427,0.431752,0.863503,0.630526,0.25,-5.55443,-5.17939
"DENV1",1.18203,3.12835,0.114674,0.965384,4.9038,1.96287,0.480065,0.960308,0.483049,0.249999,-4.10675,-4.99182
"DENV1",1.10722,3.03058,0.109386,0.986381,4.94964,1.98498,0.491068,0.983248,0.588037,0.244998,-5.18899,-5.53908
"DENV1",1.25816,3.06369,0.0970023,0.941186,4.91067,1.96427,0.419146,0.838292,0.825869,0.25,-4.44693,-5.49766
"DENV1",1.16457,3.12499,0.100857,0.982117,4.65878,1.95178,0.466233,0.944945,0.449601,0.249897,-4.86738,-5.21278
"DENV1",1.30098,3.28702,0.12153,0.969268,4.87426,1.96419,0.477163,0.954199,0.279563,0.21822,-4.88556,-4.46875
"DENV1",1.16539,3.07073,0.118359,0.982135,5.265,2.106,0.491067,0.982135,0.10083,0.0868388,-5.68631,-4.80369
"DENV1",1.21497,3.1754,0.121872,0.982135,5.04742,2.01897,0.491068,0.982135,0.0776455,0.0785217,-5.68155,-4.5112
"DENV1",1.14558,3.03656,0.117356,0.982135,4.93649,1.97459,0.491067,0.982135,0.05,0.0621271,-5.47734,-5.56651
"DENV1",1.21958,2.97002,0.149155,0.982135,5.23954,2.09581,0.491067,0.982135,0.0700163,0.0620124,-5.71562,-4.72254
"DENV1",1.16964,3.00909,0.123264,0.982135,5.12102,2.04841,0.491067,0.982135,0.05,0.0580011,-4.8907,-5.61546
"DENV1",1.39104,3.29468,0.109106,0.802311,4.91067,1.96427,0.401155,0.802311,0.05,0.0762744,-5.11244,-4.97809
"DENV1",1.14972,2.98401,0.117874,0.982135,5.39279,2.15712,0.491067,0.982135,0.0798339,0.0726503,-5.18306,-5.57916
"DENV1",1.22911,3.21557,0.118554,0.969077,4.91067,1.96427,0.484539,0.969077,0.109079,0.105063,-5.65362,-4.3485
"DENV1",1.20896,3.07043,0.121614,0.982135,5.27615,2.11046,0.491067,0.982135,0.05,0.0584039,-5.20729,-5.44312
"DENV1",1.22608,3.13642,0.126662,0.982135,5.19159,2.07664,0.491068,0.982135,0.0879355,0.0767776,-5.54978,-4.12525
"DENV1",1.54221,3.3952,0.093011,0.80013,4.58027,1.96418,0.379754,0.670537,0.0500015,0.0969243,-5.20853,-4.76193
"DENV1",1.1675,2.97849,0.120875,0.982135,5.27459,2.10984,0.491067,0.982135,0.05,0.0566991,-5.10839,-6.0646
"DENV1",1.22346,3.16174,0.121993,0.982135,5.13194,2.05277,0.491068,0.982135,0.0979111,0.0942317,-5.05687,-3.98848
"DENV1",1.34728,3.33176,0.100513,0.810492,4.91066,1.96413,0.4053,0.815726,0.0692539,0.0887508,-5.53029,-4.71299
"DENV1",1.27169,3.2511,0.124483,0.982135,5.20505,2.08202,0.491068,0.982135,0.0978713,0.0890047,-4.98903,-3.93691
"DENV1",1.40561,3.29896,0.112439,0.7991,4.91067,1.96427,0.39955,0.7991,0.05,0.0755125,-5.4278,-4.92043
"DENV1",1.18556,3.05457,0.123573,0.982135,5.02269,2.00908,0.491067,0.982135,0.05,0.0575926,-5.25844,-5.5301
"DENV1",1.58067,3.35459,0.0946972,0.893074,4.91067,1.91455,0.355135,0.723748,0.0500004,0.0956271,-5.58497,-4.79837
"DENV1",1.23636,3.25168,0.117613,0.982135,4.98319,1.99328,0.491067,0.982135,0.12374,0.113825,-5.15956,-4.24418
"DENV1",1.21401,3.06846,0.124582,0.982135,5.2476,2.09904,0.491067,0.982135,0.05,0.0579995,-5.13422,-5.40077
"DENV1",1.24584,3.13741,0.124367,0.940756,4.91067,1.96427,0.470378,0.940756,0.05,0.059724,-5.43946,-5.0745
"DENV1",1.23429,3.21309,0.120592,1.00127,5.04981,2.02186,0.493044,0.98228,0.307275,0.215047,-5.14795,-5.00141
"DENV1",1.09395,3.00494,0.107033,0.966535,4.91067,1.96427,0.483267,0.966535,0.649261,0.235024,-4.39854,-5.70645
"DENV1",1.08053,2.92936,0.098435,0.982135,4.91067,1.96312,0.467926,0.936849,0.665528,0.25,-4.80933,-6.1378
